# Timestep     No_Moles     No_Specs     C12H5	O2	
100         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
200         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
300         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
400         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
500         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
600         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
700         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
800         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
900         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1000         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1100         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1200         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1300         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1400         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1500         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1600         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1700         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1800         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
1900         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2000         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2100         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2200         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2300         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2400         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2500         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2600         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2700         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2800         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
2900         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3000         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3100         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3200         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3300         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3400         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3500         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3600         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3700         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3800         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
3900         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4000         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4100         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4200         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4300         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4400         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4500         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4600         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4700         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4800         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
4900         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5000         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5100         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5200         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5300         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5400         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5500         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5600         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5700         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5800         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
5900         15          2	 5	 10	
# Timestep     No_Moles     No_Specs     C12H5	O2	
